id,updated,rating,version,author,title,content,vote_count
13381727220,2025-11-10T11:00:00-07:00,1,20.45.3,Megby,Destroyed the User Experience,"Ever since the last update, there has been a little pop up ad in the corner of whatever video I’m watching that never goes away. Why on earth would you do this YouTube? Are you stupid? This is the dumbest decision I’ve ever seen. Quit inflating the number of ads and continuing to push ai features that barely even work. It’s like your only goal with every update is to make your platform worse (that is the goal, btw, to force you to get YouTube premium so there won’t be any ads. Whatever you do, don’t get it. You can’t reward them for this).",1
13381699014,2025-11-10T10:51:05-07:00,1,20.45.3,Chasson,Watch on browser with ad block,"Your home for AI slop advertisements, shilling scams and lies. If you can use an ad blocker, do it . 
It is well past time for the FCC to begin regulating streaming services for truth in advertising on these sites. Google should be ashamed. But instead, they are counting the money they receive from fraud.",1
13381694089,2025-11-10T10:49:34-07:00,5,20.45.3,samyqh,fun,i love youtube,0
13381686637,2025-11-10T10:47:14-07:00,1,20.45.3,Helpful Citizen123,Glitches/ unwanted suggested videos,"Too many glitches whenever I try to use the app. Sometimes it will stop showing the video and continue the audio. When I close out, it will sometimes play in a smaller screen and sometimes not. It will also sometimes shut down without  notice. 
I also don’t really like most the of the video suggestions. They are usually very far from my interests",0
13381668889,2025-11-10T10:41:44-07:00,3,20.45.3,rogereoger95,Stop raising the price,And adding features nobody uses,0
13381667538,2025-11-10T10:41:19-07:00,1,20.45.3,Carston G,Ads are Out of Control,"-Ads are out of control, and frankly, ruin the experience.  
-It’s incessant and it’s always the same spam game ads.  
-It plays so often that it forces you to constantly monitor your device; you can’t just set it aside and do something else.
-When the ads do play, it’s not a short ad, it typically is a full length featured ad for 2-5 minutes.
-Screw the monetization model from YT.  
-I’m not paying to go ad-free anyways; they’ll find a way to reinsert ads to paying members too.",1
13381653102,2025-11-10T10:36:49-07:00,1,20.45.3,ae-xer8,Shorts,"YouTube shorts should be a users choice to have it or not. I absolutely despise YouTubeshorts make an app for it like YouTube music. You guys didn’t even have to make YouTube music no one uses it. Hopefully that’ll become YouTube shorts as well. There isn’t anything worth watching a YouTube short for, unless you want to earn that channel money. It’s always about the money with YouTube. YouTube shorts when I press show lfewer shorts close and open the app agian I see shorts??",0
13381638852,2025-11-10T10:32:23-07:00,1,20.45.3,huggable cactus,Too many commercials,There are far too many commercials on this app,1
13381635090,2025-11-10T10:31:13-07:00,1,20.45.3,trentbrnto,fix your app,videos keeps pausing randomly,0
13381586877,2025-11-10T10:16:27-07:00,2,20.45.3,ConnieDodson,Updates - Not Good,"1.
I use folders extensively, and now save only one folder at a time and additional clicks to remove the previous folder. No, I do not need little photos of the most recent YouTube I put into a folder.

2.
YouTube crashes often, I mean really often. No, it is not my iPad Mini 5 that worked just fine until all these most recent updates.

In summary, I am paying for no ads and now YouTube is dysfunctional.",0
13381569414,2025-11-10T10:11:00-07:00,5,20.45.3,Bëjorn G,It’s great but,I love YouTube! It’s better than any streaming service out there and has more entertaining content. The only down side is the interface.,0
13381549721,2025-11-10T10:05:07-07:00,1,20.45.3,Ftwess4209,Ads every 4 minutes,Sooooo many ads,0
13381530331,2025-11-10T09:59:27-07:00,5,20.45.3,Cheeto don’t get none,Ok man,YouTube is so fun,0
13381482461,2025-11-10T09:45:30-07:00,2,20.45.3,Cherubs_angel,¿Are you kidding me?,Too much ads…,0
13381455338,2025-11-10T09:37:41-07:00,1,20.45.3,E.T.&Emma,Low review due to fishing scam ADVERTISEMENTS,Fishing scam ads are illegal!,0
13381422276,2025-11-10T09:28:15-07:00,5,20.45.3,1Karazygurl,Loving YouTube….but,"YouTube is basically all I watch, especially since I pay for the streaming service, but at home, it continually glitches, stops and crashes, very disappointing.",0
13381397934,2025-11-10T09:21:17-07:00,5,20.45.3,Marlo Youngin,Im ZND,Whip,0
13381277331,2025-11-10T08:46:43-07:00,1,20.45.3,Phillips1468,Bad Algorithms too expensive,It is ignorant to think that because I look for how to fix my leaking sink drain that for days or weeks later Google thinks I’m a plumbing aficionado and want to see fifty other plumbing videos.  Don’t try to figure out what I’m interested in.,0
13381230862,2025-11-10T08:33:17-07:00,2,20.45.3,Oofasaur,Shadow sub glitch,YouTube haven’t fix the sub glitch,0
